DOEID,MULTSTV,MICRO,TOASTER,COFFEE,NUMFRIG,CWASHER,WASHLOAD,DRYER,NUMCFAN,TVCOLOR,BIGTV,DVD,PLAYSTA,TVONWD,TVONWE,STEREO,NUMPC,LAPTOPPC,PCTYPE1,PCPRINT,AIRCOND,LGT12,NOUTLGTNT,DOLLAREL
1,0,1,1,1,2,1,2,1,6,2,0,1,0,2,2,1,1,0,1,1,1,1,5,1699
2,0,1,0,1,1,1,3,1,1,3,0,2,1,4,3,1,3,2,1,1,1,0,0,1748
3,0,1,0,0,2,1,3,1,0,3,0,0,0,3,3,1,0,0,0,0,1,0,0,1526
4,0,1,0,1,1,1,4,1,0,3,0,1,0,2,3,1,1,0,1,0,0,0,0,1919
5,0,1,0,1,2,1,3,1,6,5,1,2,1,4,4,1,2,1,2,1,1,0,0,1856
6,0,1,1,1,1,1,2,1,3,6,2,5,0,3,3,1,2,0,1,1,1,0,1,1721
7,0,0,0,1,2,1,2,1,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,876
8,0,1,0,1,1,1,3,1,1,4,1,1,1,3,4,0,1,0,1,1,1,0,0,1318
9,0,1,1,1,1,1,3,1,0,5,0,3,0,3,3,1,5,4,2,1,1,0,1,2117
10,0,1,0,1,1,1,1,1,1,3,0,1,0,2,2,1,1,1,2,1,1,0,0,998
11,0,0,0,0,1,1,2,1,0,2,0,0,0,2,2,1,0,0,0,0,1,0,0,818
12,1,1,1,1,2,1,3,1,3,4,1,2,1,3,3,1,2,1,2,1,1,0,0,1578
13,0,0,0,1,1,1,2,0,1,2,0,1,0,3,2,1,0,0,0,0,1,0,0,685
14,0,1,1,1,2,1,4,1,0,4,1,2,0,3,3,1,2,1,1,1,1,2,3,2883
15,0,0,0,0,1,1,3,1,0,2,0,1,0,2,2,1,0,0,0,0,0,0,1,722
16,0,1,0,1,1,1,2,1,0,3,0,0,0,3,3,0,1,0,1,1,1,0,0,1852
17,0,0,1,1,1,1,2,1,3,1,0,0,0,2,2,1,1,0,1,1,1,0,0,673
18,0,1,0,1,1,1,3,1,1,1,0,1,0,1,1,1,4,2,1,1,1,0,0,723
19,0,1,0,1,1,1,1,1,1,2,1,1,0,2,2,1,0,0,0,0,0,0,0,223
20,0,1,0,1,1,1,3,1,0,2,0,1,1,4,4,1,2,0,1,0,1,0,0,1318
21,0,1,0,1,2,1,2,1,4,4,0,1,0,3,3,0,1,0,1,1,1,0,0,1893
22,0,0,1,0,1,1,1,1,4,2,0,0,0,2,3,1,0,0,0,0,0,0,0,175
23,0,1,1,0,1,1,3,1,0,3,1,1,1,3,2,1,3,1,2,1,1,1,0,879
24,0,1,1,1,2,1,3,1,1,4,0,0,0,2,2,1,2,1,2,1,1,2,0,1497
25,0,1,1,0,2,1,3,1,6,4,0,2,0,2,2,0,2,0,1,1,1,0,0,2162
26,0,1,1,0,1,1,3,1,2,2,0,1,0,2,3,0,1,0,1,1,1,0,0,1113
27,0,1,0,1,2,1,3,1,4,4,1,1,0,3,3,1,1,0,1,1,1,0,0,1742
28,0,1,1,1,2,1,2,1,2,2,0,1,0,3,3,1,0,0,0,0,1,0,0,1273
29,0,1,0,1,1,1,4,1,0,5,0,2,1,2,3,1,1,0,1,1,1,0,0,1562
30,0,1,1,0,1,1,4,1,1,3,0,3,1,3,3,1,1,0,1,1,0,0,2,551
31,0,1,0,1,2,1,2,1,1,1,0,1,0,3,3,0,0,0,0,0,1,0,0,617
32,0,1,0,1,1,0,0,0,1,1,0,1,0,3,3,1,1,0,1,1,1,2,0,371
33,0,1,0,1,1,1,3,1,3,2,0,1,0,2,2,1,1,0,1,1,1,0,0,807
34,0,1,0,1,1,1,3,1,4,3,1,1,0,3,2,1,1,0,1,0,1,0,1,1851
35,0,1,0,0,2,1,3,1,2,5,1,3,1,3,3,1,3,1,1,1,0,0,0,1075
36,0,1,0,0,3,1,2,1,0,2,0,1,1,2,3,1,1,1,2,1,0,0,13,916
37,0,1,0,1,1,1,3,1,5,3,0,1,1,2,3,1,1,0,1,1,1,0,0,2525
38,0,1,0,0,1,1,3,1,4,2,0,2,0,2,3,1,1,0,1,1,1,0,0,1403
39,0,1,0,1,1,1,3,1,1,4,0,2,1,2,3,1,6,1,1,1,1,0,2,1117
40,0,1,1,0,1,1,3,1,0,2,1,1,0,3,3,1,2,1,1,1,0,1,1,821
41,0,1,0,0,1,1,2,1,4,4,2,2,1,3,3,1,2,0,1,1,1,1,1,2342
42,0,1,1,0,1,0,0,1,0,2,0,2,1,2,3,1,1,0,1,1,1,0,0,850
43,0,1,1,1,1,1,3,1,0,2,0,1,1,2,2,1,1,0,1,1,1,0,2,1816
44,0,0,0,1,1,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,1,0,414
45,0,1,0,1,2,0,0,0,2,3,0,4,1,2,2,1,1,0,1,1,1,0,0,1269
46,0,1,0,1,1,1,3,1,1,2,0,1,0,3,3,1,1,0,1,1,0,0,0,1439
47,0,1,1,1,1,1,2,1,3,2,0,2,0,2,3,0,2,1,1,1,1,0,0,737
48,1,1,1,1,1,0,0,0,0,2,0,2,0,3,3,1,1,0,1,1,1,1,0,960
49,0,1,1,1,1,1,2,1,0,1,0,1,1,1,2,1,2,2,2,1,1,5,0,650
50,0,1,0,1,2,1,2,1,4,3,0,0,0,3,3,0,0,0,0,0,1,0,0,622
51,0,1,0,0,1,1,2,1,0,1,0,1,0,3,3,0,0,0,0,0,0,3,0,376
52,0,0,1,1,1,1,2,1,5,2,1,1,1,2,2,1,1,0,1,1,1,0,0,1012
53,0,0,1,0,1,1,2,1,0,1,0,1,0,3,3,1,0,0,0,0,1,0,0,456
54,0,0,0,0,1,0,0,0,1,2,0,1,0,2,2,0,1,0,1,0,1,0,0,226
55,0,0,1,0,1,1,3,0,0,1,1,2,1,3,3,1,1,0,1,1,1,0,0,1029
56,0,1,0,0,1,1,1,1,4,2,0,1,0,3,3,0,0,0,0,0,1,0,0,428
57,0,1,0,1,1,1,3,1,0,2,0,1,0,2,2,1,1,1,2,1,1,0,0,793
58,0,1,0,1,1,1,3,1,0,5,1,1,1,3,2,1,2,1,1,1,1,0,0,2079
59,1,1,0,1,1,1,3,1,3,3,0,0,1,4,2,0,1,0,1,1,1,1,0,1245
60,0,1,0,1,2,1,4,1,2,2,1,0,0,3,3,1,1,0,1,1,1,0,0,1447
61,0,1,1,1,1,1,2,1,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,354
62,0,1,1,1,1,1,3,1,2,3,1,2,0,2,3,1,2,1,1,1,1,0,1,842
63,0,1,0,1,1,1,2,1,0,2,0,1,0,2,3,1,1,0,1,0,1,0,0,430
64,0,1,1,0,1,0,0,0,0,1,0,1,0,3,3,1,2,1,1,1,1,1,0,586
65,0,1,0,1,2,1,3,1,4,3,0,3,1,4,4,1,2,0,1,1,1,0,4,1258
66,0,1,0,1,1,0,0,0,0,2,0,2,1,2,3,1,0,0,0,0,0,0,0,534
67,0,0,0,0,1,1,3,1,0,3,1,1,0,4,4,0,0,0,0,0,0,0,1,899
68,0,1,0,0,1,1,2,1,4,2,1,2,1,2,2,1,0,0,0,0,1,0,0,4199
69,0,1,0,0,1,1,3,1,0,2,0,1,0,3,3,0,1,1,2,1,1,0,0,1319
70,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,579
71,0,1,1,1,1,1,2,1,0,3,0,1,0,3,3,1,0,0,0,0,1,0,0,902
72,0,1,1,1,1,1,2,1,6,2,0,0,0,2,3,0,2,1,2,1,1,0,1,1986
73,0,1,1,1,1,0,0,0,3,3,1,2,0,1,1,1,1,0,1,1,1,0,0,2905
74,0,1,1,0,1,1,1,1,1,2,0,0,0,2,2,0,1,0,1,1,1,0,0,2341
75,0,1,0,1,1,1,3,1,3,2,0,1,1,2,2,1,1,0,1,1,1,0,2,2761
76,0,1,0,1,1,1,2,1,0,2,0,1,0,3,3,1,0,0,0,0,1,0,3,667
77,0,1,1,1,1,1,1,1,2,2,0,0,0,2,2,1,0,0,0,0,0,0,0,321
78,0,1,1,0,1,1,2,1,3,3,1,3,0,2,2,1,1,0,1,1,1,0,1,2291
79,0,1,1,1,1,1,2,1,2,2,0,1,0,2,2,1,1,0,1,1,1,4,0,477
80,0,1,0,0,1,1,3,1,6,1,0,1,0,2,2,1,4,1,1,1,1,2,0,1938
81,0,1,0,1,2,1,3,1,1,4,1,1,0,2,2,1,2,1,1,0,1,0,0,1175
82,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,1,0,0,0,0,0,0,0,677
83,0,1,1,0,1,1,2,1,1,1,0,0,0,3,1,0,0,0,0,0,1,0,0,486
84,0,1,0,1,1,1,3,1,2,3,1,1,1,2,3,1,1,0,1,1,0,1,0,734
